"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"84",457,"2nd Quarter",74,500,35,38,"Shot","Miss","",NA,"mars",21.3775583264319,0.188221505304771,10.7842978675626,17,0,0,11,11,120.204996232759
"85",478,"2nd Quarter",76,549,35,20,"Shot","Score","",NA,"mars",5,0.927295218001612,53.130102354156,17,2,1,10,10.2,130.05554259655
"86",496,"2nd Quarter",78,580,28,18,"Shot","Foul","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,11,1,0,9,9.1,136.18880776047
"87",504,"2nd Quarter",81,638,52,20,"Shot","Miss","",NA,"mars",21.2132034355964,1.42889927219073,81.869897645844,4,0,0,3,3,94.468001112461
"88",554,"2nd Quarter",86,742,40,30,"Shot","Miss","",NA,"mars",15.8113883008419,0.60554466360497,34.695153531234,14,0,0,5,5,145.085755918928
"89",565,"2nd Quarter",88,769,23,36,"Shot","Score","",NA,"mars",20.6155281280883,-0.39852244566642,-22.8336541779175,6,2,1,11,11.2,108.160698249506
"90",582,"2nd Quarter",92,860,43,19,"Shot","Miss","",NA,"mars",12.1655250605964,1.40564764938027,80.5376777919744,14,0,0,3,3,196.17766846707
"91",622,"2nd Quarter",98,1038,42,30,"Shot","Miss","",NA,"mars",17.0293863659264,0.702256931509007,40.2363583092738,18,0,0,5,5,151.038688877364
"92",639,"2nd Quarter",100,1061,34,19,"Shot","Miss","",NA,"mars",3.60555127546399,0.982793723247329,56.3099324740202,10,0,0,9,9,112.282860133339
"93",661,"2nd Quarter",102,1118,33,18,"Shot","Score","",NA,"mars",2.23606797749979,1.10714871779409,63.434948822922,19,2,1,9,9.2,132.062757224694
"94",683,"2nd Quarter",105,1167,45,16,"Shot","Score","",NA,"mars",14.0356688476182,-1.49948886200961,-85.9143832200251,16,2,1,10,10.2,149.169199204097
"95",702,"3rd Quarter",109,42,11,21,"Shot","Miss","",NA,"mars",20.3960780543711,-1.37340076694502,-78.6900675259798,16,0,0,4,4,126.341569316648
"96",719,"3rd Quarter",111,85,35,18,"Shot","Miss","",NA,"mars",4.12310562561766,1.32581766366803,75.9637565320735,13,0,0,10,10,164.850721142224
"97",725,"3rd Quarter",112,97,39,32,"Shot","Miss","",NA,"mars",17,0.489957326253728,28.072486935853,6,0,0,11,11,41.7078201126096
"98",737,"3rd Quarter",114,132,28,25,"Shot","Score","",NA,"mars",8.54400374531753,-0.358770670270572,-20.5560452195835,15,2,1,10,10.2,86.652110894008
"99",755,"3rd Quarter",116,168,29,18,"Shot","Score","",NA,"mars",2.23606797749979,-1.10714871779409,-63.434948822922,15,2,1,9,9.2,174.58001859117
"100",768,"3rd Quarter",118,203,36,39,"Shot","Miss","",NA,"mars",22.561028345357,0.223476601140633,12.8042660652868,10,0,0,11,11,88.178819348358
"101",784,"3rd Quarter",122,249,32,37,"Shot","Score","",NA,"mars",20.0249843945008,0.0499583957219428,2.86240522611175,14,2,1,11,11.2,143.870842391789
"102",808,"3rd Quarter",124,290,34,28,"Shot","Miss","",NA,"mars",11.4017542509914,0.266252049150925,15.2551187030578,22,0,0,10,10,155.240156198851
"103",811,"3rd Quarter",125,297,10,19,"Shot","Score","",NA,"mars",21.095023109729,-1.47584462045214,-84.5596679689945,4,2,1,4,4.2,46.2677701405369
"104",832,"3rd Quarter",129,410,30,19,"Shot","Score","",NA,"mars",2.23606797749979,-0.463647609000806,-26.565051177078,16,2,1,9,9.2,161.614809879011
"105",851,"3rd Quarter",131,474,35,31,"Shot","Foul","",NA,"mars",14.560219778561,0.278299659005111,15.9453959009229,15,1,0,10,10.1,118.123683204671
"106",872,"3rd Quarter",136,687,53,16,"Shot","Miss","",NA,"mars",22.0227155455452,-1.52537304737332,-87.3974377975002,28,0,0,10,10,123.58800067574
"107",889,"3rd Quarter",137,707,11,17,"Shot","Miss","",NA,"mars",20,-1.5707963267949,-90,16,0,0,4,4,109.429668252876
"108",904,"3rd Quarter",139,726,34,40,"Shot","Score","",NA,"mars",23.1948270094864,0.129702537155912,7.43140797117251,10,2,1,11,11.2,108.320805213032
"109",925,"3rd Quarter",143,786,35,18,"Shot","Score","",NA,"mars",4.12310562561766,1.32581766366803,75.9637565320735,6,2,1,10,10.2,86.6562904475345
"110",944,"3rd Quarter",147,924,42,21,"Shot","Miss","",NA,"mars",11.7046999107196,1.22202532321099,70.0168934781,14,0,0,3,3,136.895985174254
"111",968,"3rd Quarter",149,1019,37,27,"Shot","Miss","",NA,"mars",11.6619037896906,0.540419500270584,30.9637565320735,19,0,0,10,10,157.629592267425
"112",970,"3rd Quarter",150,1022,35,22,"Shot","Miss","OR",NA,"mars",6.40312423743285,0.674740942223553,38.6598082540901,0,0,0,10,10,1.4142135623731
"113",990,"3rd Quarter",152,1099,33,33,"Shot","Miss","",NA,"mars",16.1245154965971,0.124354994546761,7.1250163489018,19,0,0,11,11,146.515662015573
"114",1006,"3rd Quarter",154,1156,10,20,"Shot","Score","",NA,"mars",21.2132034355964,-1.42889927219073,-81.869897645844,10,2,1,4,4.2,126.014569673104
"115",1027,"3rd Quarter",156,1199,32,24,"Shot","Miss","",NA,"mars",7.07106781186548,0.141897054604164,8.13010235415598,21,0,0,10,10,134.264454434357
"116",1046,"4th Quarter",159,30,49,26,"Shot","Score","",NA,"mars",20.1246117974981,1.10714871779409,63.434948822922,18,2,1,5,5.2,131.540916948604
"117",1075,"4th Quarter",162,113,41,34,"Shot","Miss","",NA,"mars",19.723082923316,0.531724067258806,30.4655449194599,11,0,0,11,11,85.2391374530121
"118",1090,"4th Quarter",166,141,27,25,"Shot","Miss","",NA,"mars",8.94427190999916,-0.463647609000806,-26.565051177078,11,0,0,10,10,130.348650705471
"119",1105,"4th Quarter",168,185,11,20,"Shot","Score","",NA,"mars",20.2237484161567,-1.4219063791854,-81.4692343900519,7,2,1,4,4.2,96.23986229261
"120",1117,"4th Quarter",170,216,28,38,"Shot","Miss","",NA,"mars",21.2132034355964,-0.141897054604164,-8.13010235415598,8,0,0,11,11,127.303133934213
